Name,Scholar Link,DOI,Bibtex,PDF Name,Year,Scholar page,Journal,Downloaded,Downloaded from,Authors
Classification of fusiform neocortical interneurons based on unsupervised clustering,,10.1073/pnas.97.11.6144,True,Classification of fusiform neocortical interneurons based on unsupervised clustering.pdf,2000,,Proceedings of the National Academy of Sciences,True,SciHub,Bruno Cauli and James T. Porter and Keisuke Tsuzuki and Bertrand Lambolez and Jean Rossier and Brigitte Quenet and Etienne Audinat
Combinatorial Receptor Codes for Odors,,10.1016/S0092-8674(00)80581-4,True,Combinatorial Receptor Codes for Odors.pdf,1999,,Cell,True,SciHub,Bettina Malnic and Junzo Hirono and Takaaki Sato and Linda B Buck
Single-Cell Transcriptional Analysis of Neuronal Progenitors,,10.1016/S0896-6273(03)00229-0,True,Single-Cell Transcriptional Analysis of Neuronal Progenitors.pdf,2003,,Neuron,True,SciHub,Ian Tietjen and Jason M. Rihel and Yanxiang Cao and Georgy Koentges and Lisa Zakhary and Catherine Dulac
"Cortical Sources of CRF, NKB, and CCK and Their Effects on Pyramidal Cells in the Neocortex",,10.1093/cercor/bhj081,True,Cortical Sources of CRF_ NKB_ and CCK and Their Effects on Pyramidal Cells in the Neocortex.pdf,2005,,Cerebral Cortex,True,SciHub,Thierry Gallopin and H{\'{e}}l{\`{e}}ne Geoffroy and Jean Rossier and Bertrand Lambolez
An improved single-cell cDNA amplification method for efficient high-density oligonucleotide microarray analysis,,10.1093/nar/gkl050,True,An improved single-cell cDNA amplification method for efficient high-density oligonucleotide microarray analysis.pdf,2006,,Nucleic Acids Research,True,SciHub,K. Kurimoto
Extensive Overlap of Mu-Opioid and Nicotinic Sensitivity in Cortical Interneurons,,10.1093/cercor/bhl104,True,Extensive Overlap of Mu-Opioid and Nicotinic Sensitivity in Cortical Interneurons.pdf,2006,,Cerebral Cortex,True,SciHub,I. Ferezou and E. L. Hill and B. Cauli and N. Gibelin and T. Kaneko and J. Rossier and B. Lambolez
Method for single-cell microarray analysis and application to gene-expression profiling of GABAergic neuron progenitors,,10.1016/j.neures.2007.12.011,True,Method for single-cell microarray analysis and application to gene-expression profiling of GABAergic neuron progenitors.pdf,2008,,Neuroscience Research,True,SciHub,Shigeyuki Esumi and Sheng-Xi Wu and Yuchio Yanagawa and Kunihiko Obata and Yukihiko Sugimoto and Nobuaki Tamamaki
Modelling and measuring single cell RNA expression levels find considerable transcriptional differences among phenotypically identical cells,,10.1186/1471-2164-9-268,True,Modelling and measuring single cell RNA expression levels find considerable transcriptional differences among phenotypically identical cells.pdf,2008,,{BMC} Genomics,True,SciHub,Tatiana Subkhankulova and Michael J Gilchrist and Frederick J Livesey
Classification of NPY-Expressing Neocortical Interneurons,,10.1523/JNEUROSCI.0058-09.2009,True,Classification of NPY-Expressing Neocortical Interneurons.pdf,2009,,The Journal of Neuroscience,True,SciHub,Anastassios Karagiannis and Thierry Gallopin and Csaba D{\'{a}}vid and Demian Battaglia and H{\'{e}}l{\`{e}}ne Geoffroy and Jean Rossier and Elizabeth M. C. Hillman and Jochen F. Staiger and Bruno Cauli
mRNA-Seq whole-transcriptome analysis of a single cell,,10.1038/NMETH.1315,True,mRNA-Seq whole-transcriptome analysis of a single cell.pdf,2009,,Nature Methods,True,SciHub,Fuchou Tang and Catalin Barbacioru and Yangzhou Wang and Ellen Nordman and Clarence Lee and Nanlan Xu and Xiaohui Wang and John Bodeau and Brian B Tuch and Asim Siddiqui and Kaiqin Lao and M Azim Surani
Transcriptome transfer produces a predictable cellular phenotype,,10.1073/pnas.0902161106,True,Transcriptome transfer produces a predictable cellular phenotype.pdf,2009,,Proceedings of the National Academy of Sciences,True,SciHub,Jai-Yoon Sul and Chia-wen K. Wu and Fanyi Zeng and Jeanine Jochems and Miler T. Lee and Tae Kyung Kim and Tiina Peritz and Peter Buckley and David J. Cappelleri and Margaret Maronski and Minsun Kim and Vijay Kumar and David Meaney and Junhyong Kim and James Eberwine
Resolution of Cell Fate Decisions Revealed by Single-Cell Gene Expression Analysis from Zygote to Blastocyst,,10.1016/j.devcel.2010.02.012,True,Resolution of Cell Fate Decisions Revealed by Single-Cell Gene Expression Analysis from Zygote to Blastocyst.pdf,2010,,Developmental Cell,True,SciHub,Guoji Guo and Mikael Huss and Guo Qing Tong and Chaoyang Wang and Li Li Sun and Neil D. Clarke and Paul Robson
Tracing the Derivation of Embryonic Stem Cells from the Inner Cell Mass by Single-Cell RNA-Seq Analysis,,10.1016/j.stem.2010.03.015,True,Tracing the Derivation of Embryonic Stem Cells from the Inner Cell Mass by Single-Cell RNA-Seq Analysis.pdf,2010,,Cell Stem Cell,True,SciHub,Fuchou Tang and Catalin Barbacioru and Siqin Bao and Caroline Lee and Ellen Nordman and Xiaohui Wang and Kaiqin Lao and M. Azim Surani
Characterization of the single-cell transcriptional landscape by highly multiplex RNA-seq,,10.1101/gr.110882.110,True,Characterization of the single-cell transcriptional landscape by highly multiplex RNA-seq.pdf,2011,,Genome Research,True,SciHub,Saiful Islam and Una Kjällquist and Annalena Moliner and Pawel Zajac and Jian-Bing Fan and Peter Lönnerberg and Sten Linnarsson
Deterministic and Stochastic Allele Specific Gene Expression in Single Mouse Blastomeres,,10.1371/journal.pone.0021208,True,Deterministic and Stochastic Allele Specific Gene Expression in Single Mouse Blastomeres.pdf,2011,,{PLoS} {ONE},True,SciHub,Fuchou Tang and Catalin Barbacioru and Ellen Nordman and Siqin Bao and Caroline Lee and Xiaohui Wang and Brian B. Tuch and Edith Heard and Kaiqin Lao and M. Azim Surani
Full-length mRNA-Seq from single-cell levels of RNA and individual circulating tumor cells,,10.1038/nbt.2282,True,Full-length mRNA-Seq from single-cell levels of RNA and individual circulating tumor cells.pdf,2012,,Nature Biotechnology,True,SciHub,Daniel RamskÃ¶ld and Shujun Luo and Yu-Chieh Wang and Robin Li and Qiaolin Deng and Omid R Faridani and Gregory A Daniels and Irina Khrebtukova and Jeanne F Loring and Louise C Laurent and Gary P Schroth and Rickard Sandberg
A simple and novel method for RNA-seq library preparation of single cell cDNA analysis by hyperactive Tn5 transposase,,10.1002/dvdy.23850,True,A simple and novel method for RNA-seq library preparation of single cell cDNA analysis by hyperactive Tn5 transposase.pdf,2012,,Developmental Dynamics,True,SciHub,Scott Brouilette and Scott Kuersten and Charles Mein and Monika Bozek and Anna Terry and Kerith-Rae Dias and Leena Bhaw-Rosun and Yasunori Shintani and Steven Coppen and Chiho Ikebe and Vinit Sawhney and Niall Campbell and Masahiro Kaneko and Nobuko Tano and Hidekazu Ishida and Ken Suzuki and Kenta Yashiro
