Spacy,Words,Frequency
cell,"cells, cell",5536
expression,"expression, expressions",4059
gene,"genes, gene",3960
show,"shown, showed, showing",3170
fig,"fig, figs",3099
plot,"plot, plots, plotting, plotted",2686
indicate,"indicates, indicating, indicated, indicate",2402
cluster,"clustered, cluster, clusters, clustering",2254
analysis,"analysis, analyses",2226
bar,"bars, bar",2094
single,"singles, single",2034
datum,"datum, data",1990
represent,"represented, represent, representing, represents",1842
express,"expressing, expressed, express, expresses",1806
type,"types, type, typing",1800
red,"reds, red",1754
color,"colors, colored, color, coloring",1725
marker,"marker, markers",1714
seq,seq,1680
mouse,"mouse, mice",1642
right,right,1591
scale,"scaling, scaled, scale, scales",1524
number,"numbered, numbers, number, numbering",1516
test,"tests, test, tested, testing",1504
value,"value, valued, values",1448
mean,"meaning, means, mean",1439
level,"level, levels",1371
sample,"sample, sampling, sampled, samples",1322
blue,"blue, blues",1304
representative,"representatives, representative",1244
identify,"identifies, identifying, identified, identify",1210
line,"lining, lines, line, lined",1184
base,"base, based",1167
rna,"rnas, rna",1165
leave,"leaving, leave, leaves, left",1122
heatmap,"heatmap, heatmaps",1107
control,"controlling, control, controlled, controls",1077
high,"higher, high, highest",1076
different,different,1063
population,"population, populations",1029
specific,specific,1010
dot,"dot, dots, dotted",996
green,green,979
individual,"individual, individuals",955
group,"grouped, groups, grouping, group",953
distribution,"distribution, distributions",952
experiment,"experiments, experiment",931
point,"pointed, points, pointing, point",903
score,"score, scoring, scores, scored",885
human,"humans, human",875
average,"averaged, average, averaging, averages",873
time,"time, times, timed",849
change,"changed, change, changes, changing",841
compare,"comparing, compared, compares, compare",839
image,"imaging, images, imaged, image",832
low,"lower, lows, lowest, low",831
clustering,"clustering, clusterings",827
normalize,"normalizes, normalized, normalize, normalizing",799
select,"selected, selects, select, selecting",790
sne,"snes, sne",786
map,"mapped, map, mapping, maps",779
scrna,scrna,775
schematic,"schematic, schematics",770
relative,relative,749
table,"table, tables",741
correlation,"correlation, correlations",736
profile,"profile, profiling, profiles, profiled",735
percentage,"percentages, percentage",721
total,"totaling, totalling, totals, total",717
differentially,differentially,715
relate,"related, relating, relates, relate",705
day,"day, days",705
independent,independent,704
comparison,"comparison, comparisons",702
axis,"axes, axis",687
sequence,"sequencing, sequence, sequenced, sequences",678
tissue,"tissues, tissue",668
method,"methods, method",656
enrich,"enriched, enrich, enriching",649
panel,"panel, panels",647
